Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
P26196	0	0	0	3900000	0	0	0	1.1e+07	0	0	6700000	0	0	0	7400000	4e+07	27300000	1.7e+07	8600000	1.6e+07
P26232	0	0	7400000	4600000	0	2200000	0	0	3100000	0	0	0	0	0	0	0	0	0	0	0
P26358	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	5100000	0	19500000	3700000	0	0	1.1e+07
P26373	0	0	4700000	0	0	2700000	4400000	0	5.3e+07	0	3.9e+07	29400000	5e+07	3500000	1.52e+08	502700000	366400000	2.44e+08	1.1e+07	5.2e+07
P26583	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	5.2e+07	7600000	0	0	1.1e+07	2800000	1.3e+07
P26599	0	0	4200000	0	0	0	0	6400000	6.8e+07	75800000	93100000	133900000	681100000	2.382e+09	1928900000	1310900000	685700000	420490000	181200000	495900000
P26639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1e+07	94400000	42100000	145500000	78700000	78100000
P26640	0	0	11500000	6900000	0	0	5700000	5600000	26600000	18100000	8600000	2.4e+07	0	84200000	569600000	512100000	1108800000	1067500000	477200000	716600000
P26641	0	0	15800000	1900000	0	5e+06	0	32600000	52200000	3.7e+07	1.3e+07	25800000	30500000	2.13e+08	2.89e+08	245100000	170600000	2.94e+08	160900000	233300000
P27144	0	0	0	0	0	0	0	0	1e+07	33200000	0	0	0	0	0	0	0	0	0	0
P27348	0	4800000	1.02e+08	53500000	29400000	4e+07	47400000	1.66e+08	2.65e+08	185300000	119600000	95400000	8.3e+07	128500000	1.73e+08	1.51e+08	1.3e+07	190800000	57200000	1.39e+08
P27482	0	0	0	0	0	0	12900000	0	0	0	0	0	0	0	0	0	0	0	0	0
P27635	0	0	0	0	0	0	0	0	18300000	0	0	1500000	0	0	3.3e+07	140900000	9200000	6100000	0	23300000
P27694	0	0	0	0	0	0	0	0	0	0	0	0	6300000	0	0	20300000	7100000	23300000	2300000	0
P27708	0	0	7.1e+07	38800000	2e+06	25300000	3.2e+07	1.35e+08	358100000	239500000	1.08e+08	82700000	1.4e+07	63900000	377400000	1134600000	4.13e+09	3493700000	1690990000	3570300000
P27797	0	0	153700000	83100000	2400000	35900000	64100000	467100000	1010300000	623900000	562700000	1.14e+08	1.23e+08	7.4e+07	0	0	0	0	8300000	32900000
P27816	0	0	92900000	61800000	31900000	37300000	41400000	265800000	823500000	573300000	409500000	540600000	566500000	482900000	693400000	858100000	816500000	303400000	146500000	141200000
P27824	0	0	13300000	8400000	0	6700000	0	1.5e+07	42900000	2.5e+07	1.4e+07	14800000	9200000	0	0	0	0	0	0	0
P28070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	0	0
P28072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26200000	19100000	19300000	2.8e+07	1.3e+07	1.4e+07
P28074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5e+07	0	3500000	0	0
P28288	0	0	3700000	0	0	0	0	2300000	2.9e+07	25600000	24100000	2600000	0	0	0	0	0	0	0	0
P28290	0	0	0	0	0	1900000	1700000	1.7e+07	75400000	16080000	20200000	7200000	0	0	0	0	0	0	0	0
P28331	0	0	0	0	0	0	0	0	140500000	8.6e+07	14700000	0	0	0	0	0	0	0	0	0
P28340	0	0	0	0	0	0	0	0	0	0	0	0	0	7900000	13900000	46500000	26200000	39700000	20800000	48200000
P28370	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	0	0	0	0	0	0
P28482	0	0	0	0	0	0	2100000	5500000	0	0	0	4e+06	0	0	6400000	18200000	5800000	39700000	1e+07	1e+07
P28799	0	0	4700000	3e+06	0	0	2900000	0	0	0	0	5200000	0	0	0	2.2e+07	0	0	0	0
P28838	0	0	0	0	0	0	0	0	0	3e+06	0	0	0	0	0	0	0	0	0	0
P29144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200000	38600000	0	14200000
P29317	0	0	4300000	4400000	0	1800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P29323	0	0	5500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P29353	0	0	0	0	0	0	0	0	1.2e+07	17600000	11400000	4500000	4400000	0	0	0	0	0	0	4100000
P29401	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2e+07	94200000	322200000	276300000	738400000	204100000	488200000
P29508	0	0	0	0	0	0	30800000	0	0	0	0	0	0	0	0	0	0	0	0	0
P29558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3e+07	0	0	0	0
P29590	0	0	4300000	2200000	0	1200000	0	1900000	0	0	0	49500000	81800000	186500000	6.3e+07	19100000	2.1e+07	15400000	10300000	12100000
P29692	0	0	7100000	6160000	0	6e+06	0	4.7e+07	157400000	1.15e+08	6e+07	41200000	3.5e+07	8.8e+07	2.18e+08	297300000	1.9e+08	1.83e+08	7100000	67200000
P30038	0	0	0	0	0	0	0	0	1.2e+07	1.4e+07	2700000	0	0	0	0	0	0	0	0	0
P30040	0	0	0	0	0	0	0	0	1.8e+07	0	0	0	0	0	0	0	0	0	0	0
P30041	0	0	4700000	0	0	0	0	0	11300000	0	1.2e+07	0	0	1.4e+07	0	0	2.2e+07	32600000	1.2e+07	20300000
P30043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18700000	0	9.4e+07	1.6e+07	1500000
P30044	0	0	0	0	0	0	0	0	2.6e+07	15600000	2400000	760000	0	0	0	0	0	0	0	0
P30048	0	0	0	810000	0	0	0	0	164200000	56300000	27800000	0	0	0	0	0	0	0	0	0
P30050	0	0	0	0	0	0	0	0	5500000	5200000	0	0	6600000	8700000	5600000	82600000	6.8e+07	2.6e+07	0	0
P30084	0	0	0	0	0	0	0	0	26900000	4800000	0	0	0	0	0	0	0	0	0	0
P30086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41900000	27900000	5700000	6900000
P30101	0	4e+06	282300000	195800000	32200000	204410000	203600000	791730000	1214300000	9.07e+08	586600000	2.22e+08	9.9e+07	1.01e+08	0	4.2e+07	8400000	50700000	23600000	58800000
P30153	0	0	14800000	9500000	0	4900000	2e+06	9400000	1.37e+08	16400000	0	6900000	0	2.4e+07	3.1e+07	36800000	8.4e+07	5.2e+07	4e+06	69600000
P30376	0	0	0	0	0	0	0	0	1.4e+07	8700000	0	0	0	0	0	0	0	0	0	0
P30414	0	0	0	0	0	0	0	0	0	0	0	0	3.6e+07	1.6e+07	6.3e+07	4.9e+07	19100000	0	4500000	7700000
P30419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e+07	4e+07	23900000	0	1.7e+07
P30427	0	0	28600000	1.6e+07	6900000	3400000	2.3e+07	1.48e+08	6.3e+08	738500000	4.11e+08	3.09e+08	237200000	2.13e+08	193600000	1.48e+08	2.15e+08	180500000	1.25e+08	1.34e+08
P30481	0	0	6200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30530	0	0	29900000	16200000	6700000	9300000	15300000	17600000	2.7e+07	1.3e+07	5900000	0	0	0	0	0	0	0	0	0
P30533	0	0	0	0	0	0	0	1.2e+07	5300000	1900000	4500000	0	0	0	0	0	0	0	0	0
P30566	0	0	0	0	0	0	0	0	19100000	4e+06	0	0	4700000	0	29200000	40400000	3.9e+07	79800000	43600000	110700000
P30626	0	0	0	0	0	0	0	6e+06	0	26600000	3200000	17100000	0	1.2e+07	3.6e+07	0	3.7e+07	35800000	8500000	1.3e+07
P30825	0	0	7.4e+07	6.2e+07	1.9e+07	3.5e+07	9600000	0	1.9e+07	0	0	1e+07	0	0	0	0	0	0	0	0
P30837	0	0	0	0	0	0	0	0	34200000	26300000	0	0	0	0	0	0	0	0	0	0
P30876	0	0	0	0	0	0	0	0	7200000	5200000	0	0	1.5e+07	46600000	71600000	32500000	80300000	78800000	26600000	6.4e+07
P31040	0	0	0	0	0	0	0	0	55100000	52400000	0	0	0	0	0	0	0	0	0	0
P31327	0	0	0	0	0	0	0	0	5500000	0	0	0	0	0	0	0	0	0	0	0
P31350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8e+07	2500000	0	0	0	0
P31431	0	0	10700000	5400000	0	3800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P31483	0	0	0	0	0	0	0	0	5900000	2500000	0	0	0	3.3e+07	6.7e+07	24600000	6900000	0	0	0
P31689	0	0	3700000	1900000	0	2300000	0	7100000	1.5e+07	0	0	4500000	1.5e+07	1.7e+07	1.3e+07	1.6e+07	1.2e+07	0	7800000	0
P31930	0	0	0	0	0	0	0	0	196400000	1.03e+08	20800000	4800000	0	0	0	0	0	0	0	0
P31939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21100000	61600000	35800000	151100000	38600000	90100000
P31942	0	0	0	0	0	640000	0	0	1.01e+08	6.9e+07	87700000	213400000	295800000	791900000	1155200000	936300000	392200000	103700000	1.71e+08	230300000
P31943	0	0	0	0	0	0	0	0	1.04e+08	37100000	0	99700000	512500000	960900000	1322200000	539400000	204700000	137900000	5700000	1.97e+08
P31946	0	0	3.5e+07	3.5e+07	5e+06	1.6e+07	1.4e+07	8900000	6.2e+07	4.9e+07	0	1.3e+07	1.9e+07	4.6e+07	5.4e+07	4.5e+07	6e+07	8.9e+07	7600000	2200000
P31947	0	0	33100000	23900000	6300000	1.3e+07	8.2e+07	11800000	104200000	5.7e+07	4.8e+07	4.9e+07	0	0	4.5e+07	79900000	4700000	4600000	3e+06	6100000
P31948	0	0	0	0	0	0	2200000	2100000	17100000	0	0	13100000	0	12400000	68900000	121800000	3.9e+07	72800000	53700000	60200000
P32004	0	2800000	2.72e+08	112100000	5.6e+07	100600000	54800000	121700000	243300000	168500000	75300000	29400000	4e+06	13100000	0	0	1700000	3400000	1800000	0
P32119	0	0	7500000	2700000	2200000	0	3100000	3700000	27300000	5700000	7900000	0	0	0	1.9e+07	8800000	27200000	4.5e+07	15700000	6900000
P32322	0	0	1e+07	3900000	0	0	0	1.5e+07	2.62e+08	1.52e+08	3400000	3700000	0	0	0	0	0	0	0	0
P32970	0	0	6200000	3700000	0	0	0	0	0	3800000	0	0	0	0	0	0	0	0	0	0
P33176	0	0	8800000	1.2e+07	3800000	4860000	5500000	35600000	74400000	37600000	7600000	5500000	0	109700000	27500000	54600000	2.7e+07	43300000	28100000	32800000
P33240	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	1.3e+07	6200000	0	0	0	0
P33316	0	0	0	0	0	0	0	0	0	3200000	0	0	19500000	8e+06	0	17200000	0	1e+07	0	8400000
P33527	0	0	4200000	5900000	0	0	0	5500000	2.7e+07	1.8e+07	0	0	0	0	0	0	0	0	0	0
P33991	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	0	23100000	7600000	1.4e+07	71800000	1.1e+07	51200000
P33992	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6e+07	56200000	63900000	131300000	209900000	102100000	181300000
P33993	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	25500000	94800000	88200000	278300000	75500000	1.82e+08
P34897	0	0	0	0	0	0	0	1800000	3.19e+08	283700000	13500000	1.4e+07	0	0	0	0	0	0	0	0
P34932	0	0	0	0	0	0	0	2400000	0	5900000	7300000	19500000	44200000	88600000	49200000	64700000	96300000	249400000	80100000	179900000
P35052	0	0	248100000	55800000	27600000	48400000	6800000	18200000	3e+06	0	0	0	0	0	0	0	0	0	0	0
P35080	0	0	0	4800000	0	5600000	0	1.6e+07	2.8e+07	0	0	0	0	3.3e+07	20600000	0	2.2e+07	2.3e+07	9700000	2.5e+07
P35221	0	0	46800000	17400000	1100000	21100000	1600000	26200000	411200000	166400000	29600000	27800000	0	4500000	0	0	0	0	0	0
P35222	0	4100000	81100000	60300000	25400000	57200000	39900000	231700000	1059800000	627300000	136100000	57100000	0	0	0	5100000	0	0	0	3700000
P35232	0	0	0	0	0	0	0	0	95600000	4.8e+07	2e+06	0	0	0	0	0	0	0	0	0
P35241	0	0	0	0	0	0	0	0	11200000	0	0	0	0	9600000	0	0	7800000	4300000	0	8800000
P35249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7100000	0	2900000	0	0
P35250	0	0	0	0	0	0	0	0	0	0	0	0	5e+06	0	0	0	0	0	0	5800000
P35251	0	0	0	0	0	0	0	0	0	0	0	0	10500000	2e+07	7800000	3800000	0	0	0	0
P35268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2e+07	9.2e+07	1.2e+08	0	0	0
P35269	0	0	0	0	0	0	0	0	0	0	0	0	38300000	48600000	40300000	7600000	3.6e+08	0	4400000	3900000
P35527	1063500000	242500000	822400000	159100000	49200000	86800000	168200000	507500000	7.2e+07	257400000	5.73e+08	35100000	73900000	4.8e+07	66900000	144600000	209200000	15600000	39600000	36700000
P35556	0	0	0	0	0	0	0	4400000	7400000	11300000	0	0	0	0	0	0	0	0	0	0
P35568	0	0	0	0	0	0	0	18700000	23870000	0	5700000	0	0	0	0	1.1e+07	0	0	0	0
P35573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8900000	3.4e+07	29800000	1.7e+07	83200000
P35579	0	0	203700000	147100000	40400000	99400000	207120000	905200000	4844800000	2570500000	960400000	727400000	1008500000	1546800000	529100000	590580000	494500000	526100000	218500000	577100000
P35580	0	0	6240000	0	0	0	16420000	134600000	1256600000	789800000	211090000	107180000	53900000	1.5e+07	2900000	0	8300000	8600000	0	6800000
P35606	0	0	0	0	0	0	0	0	0	1.7e+07	0	0	0	0	0	0	0	1.3e+07	2400000	0
P35611	0	0	0	0	0	0	0	0	1.2e+07	6300000	0	0	0	0	0	0	0	0	0	0
P35613	1.12e+08	172300000	902900000	270400000	151200000	348700000	147300000	479400000	1.849e+09	1.258e+09	320500000	2.85e+08	82900000	3.4e+07	1.6e+07	0	0	0	0	0
P35637	0	0	0	0	0	0	0	9100000	6.7e+07	43100000	0	6500000	118100000	1.8e+08	1.57e+08	3.95e+08	151800000	3.6e+07	44800000	69700000
P35658	0	0	0	0	0	0	0	0	63800000	3.1e+07	13900000	43300000	298500000	234500000	5.4e+07	38200000	24400000	33500000	4e+06	13500000
P35659	0	0	0	0	0	0	0	0	1.3e+07	0	0	1.1e+07	549200000	9.91e+08	2.03e+08	1.09e+08	0	0	0	0
P36551	0	0	0	0	0	0	0	0	2.2e+07	1.2e+07	0	0	0	0	0	0	0	0	0	0
P36578	0	6e+06	64900000	49500000	17400000	65900000	5700000	295800000	531800000	268840000	333300000	290800000	454300000	1075200000	1.925e+09	3790800000	4068800000	1980500000	653900000	1194300000
P36639	0	0	0	0	0	0	2200000	0	1.6e+07	5500000	0	0	0	1e+07	0	1.6e+07	1.5e+07	35300000	9e+06	11500000
P36776	0	0	0	0	0	0	0	0	67600000	14900000	0	0	0	0	0	0	0	0	0	0
P36871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12800000	0	0
P36957	0	0	0	0	0	0	0	0	44400000	57200000	1.1e+07	5900000	0	0	0	0	0	0	0	0
P37198	0	0	0	0	0	0	0	6100000	0	0	2500000	0	6900000	3.7e+07	0	0	0	5900000	0	16100000
P37802	0	0	5e+07	13400000	10700000	17920000	22300000	4.5e+07	321200000	261600000	5.7e+07	7.2e+07	1.33e+08	1.5e+08	1.65e+08	3.72e+08	304900000	306600000	119700000	1.76e+08
P37837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4200000	0	0	0	0
P38117	0	0	0	0	0	0	0	0	2.3e+07	1.7e+07	0	0	0	0	0	0	0	0	0	0
P38432	0	0	0	0	0	0	0	0	0	0	0	0	13600000	95800000	88500000	23900000	15100000	0	0	3700000
P38435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07
P38606	0	0	82800000	0	0	4400000	3e+06	0	0	0	0	0	0	0	5200000	10800000	0	40800000	15700000	30300000
P38646	0	0	5500000	0	0	0	0	5800000	671800000	482800000	162700000	85500000	1.1e+07	0	0	0	0	0	0	4200000
P38919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600000	0	7900000	0	5200000	0
P39019	0	0	0	0	0	0	0	0	9500000	0	3900000	0	0	0	0	235700000	211600000	89900000	44700000	3.6e+07
P39023	0	0	0	0	0	0	0	35800000	48600000	23500000	3.9e+07	23500000	2.1e+07	28100000	296800000	356700000	3.04e+08	242100000	7.7e+07	132500000
P39687	0	0	120800000	5300000	6800000	5.3e+07	38300000	1.29e+08	377400000	715300000	1.48e+08	4.61e+08	3.181e+09	3.457e+09	8.57e+08	1.559e+09	978700000	57400000	1.5e+07	0
P39748	0	0	1800000	0	0	0	0	0	0	0	0	0	0	8100000	0	0	1.1e+07	16400000	0	4300000
P40123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400000	7400000	25700000	3e+06	11100000
P40222	0	0	3e+06	3e+06	2e+06	0	3500000	17500000	52400000	38800000	8e+06	4800000	0	1.4e+07	15200000	73600000	22900000	21900000	1.4e+07	31500000
P40227	0	0	5600000	0	0	0	0	6300000	0	0	0	0	0	0	67900000	50100000	53700000	141700000	27500000	93200000
P40261	0	0	1200000	0	0	0	0	0	2.2e+07	0	0	6200000	0	1.1e+07	9100000	0	0	3.5e+07	2.1e+07	25300000
P40429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35600000	2.5e+07	9600000	0	1.1e+07
P40692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	6e+06	0	0
P40763	0	0	5600000	0	0	0	0	8300000	2.5e+07	0	17200000	0	20100000	2.7e+07	3.5e+07	27900000	3.2e+07	16800000	1.1e+07	28900000
P40925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200000	0	8e+06	0	0	7300000
P40926	0	0	0	0	0	0	0	0	551700000	3.95e+08	54300000	22300000	0	0	0	0	0	0	0	0
P40939	0	0	2200000	1400000	0	0	0	0	904600000	444900000	64700000	3.8e+07	49800000	0	0	0	0	0	0	0
P41212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2e+07	0	0	0	0
P41250	0	0	0	0	0	0	0	0	1.5e+07	0	0	0	0	0	0	14200000	2e+07	4.3e+07	1.5e+07	3.1e+07
P41252	0	0	0	0	0	0	0	2400000	1.2e+07	7200000	3900000	0	0	20300000	214400000	231400000	3.27e+08	297400000	118200000	345700000
P42126	0	0	0	0	0	0	0	0	4900000	4500000	0	0	0	0	0	0	0	0	0	0
P42166	0	0	0	0	0	0	0	0	0	0	0	4900000	7.4e+07	3.3e+07	0	0	0	0	0	0
P42167	0	0	0	0	0	0	0	0	0	0	0	0	4e+06	4.5e+07	0	0	0	0	0	0
P42224	0	0	0	0	0	0	0	0	6100000	0	0	0	0	0	6600000	0	0	4300000	0	7100000
P42285	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	9400000	3500000	0	2700000	0	0
P42345	0	0	18100000	6700000	3600000	6400000	0	15200000	0	0	0	0	0	0	0	5600000	26600000	0	0	10300000
P42356	0	0	0	0	0	0	0	23500000	5.8e+07	0	0	0	0	0	0	0	7400000	0	2600000	0
P42566	0	0	0	0	0	0	880000	0	36700000	22900000	8200000	0	0	0	0	0	0	0	0	0
P42677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06
P42694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000
P42696	0	0	0	0	0	0	0	0	0	0	0	0	0	7600000	0	0	0	0	0	0
P42704	0	0	103500000	22500000	1700000	2400000	7800000	286800000	6492100000	3096400000	1042100000	518400000	107800000	3.8e+07	4e+06	0	0	0	0	14300000
P42765	0	0	0	0	0	0	0	0	120700000	152800000	23700000	0	0	0	0	0	0	0	0	0
P42785	0	0	9500000	560000	0	0	0	0	6500000	0	0	0	0	0	0	4300000	8600000	0	0	0
P42892	0	7100000	143200000	123600000	66100000	94100000	56900000	28500000	2200000	74100000	3.4e+07	4300000	0	0	0	0	0	0	0	0
P43007	0	0	70900000	48500000	10200000	17400000	6700000	30800000	32300000	3.6e+07	5600000	0	0	0	0	0	0	0	0	0
P43121	0	0	1.3e+08	54600000	7400000	6100000	16200000	3600000	140800000	3.1e+07	56500000	2.4e+07	0	0	0	0	0	0	0	0
P43243	0	0	9640000	8800000	0	0	0	0	316600000	185100000	1.71e+08	389900000	1780100000	4437400000	3842900000	1625900000	1002300000	370100000	158700000	5.34e+08
P43246	0	0	0	0	0	0	0	0	2.5e+07	0	0	1800000	7500000	2e+07	0	7e+06	9200000	97300000	12400000	4.6e+07
P43304	0	0	3100000	0	0	0	0	5400000	580200000	378600000	95200000	40400000	0	0	0	0	0	0	0	0
P43307	0	0	0	0	0	0	0	0	7500000	6200000	2100000	0	0	0	0	0	0	0	0	0
P43358	0	0	4700000	2400000	0	0	0	0	7900000	0	0	1.4e+07	0	6.9e+07	1.6e+07	1.4e+07	1.5e+07	1.8e+07	0	0
P43487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6900000	0	5700000	0	0
P43686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400000	16800000	1800000	13400000	0	13700000
P45880	0	0	0	0	0	0	0	21800000	3.56e+08	142400000	42300000	1.3e+07	1.2e+07	0	0	0	0	0	0	0
P45973	0	0	0	0	0	0	0	0	0	0	0	0	2.4e+07	2.4e+07	0	0	0	0	0	0
P45974	0	0	6600000	4650000	0	3200000	4300000	0	21600000	11800000	12100000	9800000	20600000	70200000	54400000	82500000	46600000	193200000	36400000	100300000
P46013	0	0	0	0	0	0	0	3700000	2.9e+07	62400000	45400000	61900000	1115800000	1039300000	228500000	1.33e+08	54700000	2e+07	8700000	6200000
P46060	0	0	0	0	0	0	0	0	5100000	0	0	11300000	1.6e+07	42200000	0	0	0	0	0	0
P46063	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8e+07	13100000	0	0	6900000	0	0
P46087	0	0	0	0	0	0	0	0	0	0	0	0	21200000	81700000	8e+06	0	0	0	0	0
P46109	0	0	0	0	0	0	0	0	2.8e+07	0	9100000	0	0	0	12400000	0	3100000	0	0	0
P46379	0	0	1700000	0	0	0	0	12250000	0	8500000	0	0	4100000	81600000	51200000	6100000	55600000	55300000	17600000	26900000
P46459	0	0	2200000	0	930000	2800000	2500000	19600000	0	3300000	0	0	0	0	0	4100000	0	1.9e+07	0	11300000
P46776	0	0	5200000	0	0	1400000	0	7200000	3.5e+07	0	0	1.9e+07	5.8e+07	0	1.3e+08	2.15e+08	1.9e+08	1.1e+08	3.7e+07	4.9e+07
P46777	0	1800000	54700000	64900000	2800000	26200000	3.5e+07	377400000	728100000	4.32e+08	231800000	2.18e+08	225800000	619600000	1100500000	4496900000	3803800000	2.265e+09	7.16e+08	1321700000
P46778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4e+07	0	5.6e+07	1.7e+07	0	11200000
P46779	0	0	0	0	0	0	0	0	0	0	0	0	5100000	0	0	20400000	4.8e+07	19200000	0	0
P46781	0	0	0	0	0	0	0	2500000	2.1e+07	1.9e+07	2.1e+07	1.5e+07	2.3e+07	4.6e+07	7.6e+07	1.1e+08	266600000	116200000	70500000	120200000
P46782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1e+07	0	0	0	0
P46783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12700000	3e+07	18400000	3900000	6500000
P46821	0	0	0	0	0	0	0	0	0	0	8700000	22500000	2.9e+07	6600000	0	0	0	0	0	0
P46934	0	0	7700000	5800000	0	1e+06	0	0	6400000	0	0	0	0	0	0	0	0	0	0	0
P46937	0	0	0	0	0	0	0	0	0	1.1e+07	0	0	0	0	4500000	1e+07	8100000	0	0	6700000
P46939	0	0	34100000	31700000	4800000	12500000	29600000	270890000	1064200000	304600000	160430000	55400000	5300000	0	0	0	0	3100000	0	0
P46940	0	0	100870000	56900000	13100000	16110000	35600000	320600000	1.372e+09	573300000	211100000	239500000	1.2e+08	140200000	2.6e+08	160800000	146400000	235200000	116600000	239800000
P46976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6e+07	1.08e+08	6.4e+07	125400000	1.3e+07	5.8e+07
P47756	0	0	9200000	2.9e+07	0	3100000	0	0	207700000	4.1e+07	0	0	3200000	0	0	2.2e+07	0	1.3e+07	0	0
P47897	0	0	0	0	0	0	0	0	4e+06	5900000	0	0	0	9100000	89700000	72500000	95300000	1.81e+08	63900000	1.65e+08
P47914	0	0	8.1e+07	6.1e+07	0	4.7e+07	69600000	308300000	8.1e+08	6.92e+08	5.3e+08	387800000	6.8e+08	6.6e+08	1.324e+09	4.39e+09	4.375e+09	1.812e+09	7.5e+08	806200000
P47929	0	0	0	0	0	0	91300000	0	0	0	0	0	0	0	0	0	0	0	0	0
P48147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3400000	0
P48444	0	0	10900000	9600000	3700000	8800000	0	2.7e+07	3.3e+07	1.5e+07	10900000	0	1.1e+07	1.4e+07	2.6e+07	2.5e+07	2e+07	31300000	12200000	0
P48449	0	0	23600000	6900000	0	1700000	5400000	30300000	5.9e+07	5.3e+07	9700000	20200000	4700000	0	0	0	0	0	0	0
P48594	0	0	0	0	0	0	34400000	0	0	0	0	0	0	0	0	0	0	0	0	0
P48634	0	0	0	0	0	0	0	0	96500000	1.3e+07	4100000	4200000	1700000	490000	70600000	175700000	75100000	44200000	0	1.6e+07
P48643	0	0	0	0	0	0	0	7100000	0	0	0	1.1e+07	6e+06	2.4e+07	85900000	113500000	83100000	130200000	53200000	3.2e+07
P48681	0	0	0	0	0	0	0	52200000	662720000	551200000	280200000	194900000	93680000	0	0	0	5200000	7800000	0	0
P48730	0	0	0	0	0	0	0	5200000	0	7200000	0	0	0	3.4e+07	1.2e+07	0	0	0	0	0
P48739	0	0	0	0	0	0	0	2500000	9900000	0	0	0	0	9e+06	0	7600000	8e+06	40700000	5300000	8600000
P48960	0	2500000	72800000	5.4e+07	2500000	20500000	2400000	9140000	23700000	8100000	0	0	0	0	0	0	0	0	0	0
P49005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5900000	0	3300000
P49006	0	0	1.5e+07	13100000	2900000	0	2300000	0	0	0	6500000	3200000	0	0	0	0	0	0	0	0
P49023	0	0	5800000	3700000	0	0	4e+06	0	3e+07	2.6e+07	0	0	430000	13900000	9600000	7900000	0	1.3e+07	0	7900000
P49207	0	0	0	0	0	0	7700000	4.6e+07	1.18e+08	8.9e+07	42600000	4.9e+07	3.4e+07	1.14e+08	4.57e+08	628100000	901200000	331300000	7.6e+07	1.4e+08
P49257	0	0	78400000	5.1e+07	17880000	7.7e+07	27100000	116600000	1.17e+08	79100000	3e+07	15300000	0	0	0	0	0	0	0	0
P49321	0	4100000	34300000	19200000	3800000	19600000	5800000	56200000	62700000	93600000	221200000	140100000	80100000	5.2e+07	6800000	24600000	22700000	31900000	0	1.2e+07
P49327	0	1.3e+07	389720000	180400000	45840000	77600000	66420000	410200000	1328800000	547600000	235900000	182100000	53500000	3.32e+08	1718900000	3793400000	9118600000	8931650000	4355670000	9819700000
P49368	0	0	3700000	0	0	0	2100000	2e+06	1.4e+07	9900000	0	3500000	0	24100000	1.4e+08	262300000	1.06e+08	385300000	1.31e+08	196300000
P49411	0	0	51800000	14400000	0	0	0	125800000	1711500000	1228700000	457100000	246600000	62900000	37400000	0	0	0	4900000	0	0
P49419	0	0	0	0	0	0	0	0	2.5e+07	5500000	0	0	0	0	5100000	1.7e+07	19300000	65300000	0	6.3e+07
P49454	0	0	0	0	0	0	0	0	2600000	5300000	0	1900000	11300000	33700000	7e+06	0	3100000	0	0	0
