Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
O14646	0	0	0	0	0	0	0	0	0	0	0	0	28530000	12100000	1.1e+07	14600000	0	3900000	0	0
O14647	0	0	0	0	0	0	0	0	0	0	0	0	3900000	22900000	0	4100000	0	0	0	0
O14662	0	0	2700000	0	2600000	1200000	0	3200000	0	0	0	0	0	0	0	0	0	0	0	0
O14686	0	0	0	0	0	0	0	0	0	0	0	0	22100000	0	0	0	0	0	0	0
O14744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07
O14745	0	0	3400000	6100000	0	4e+06	0	29300000	6.4e+07	67700000	23900000	8700000	0	0	0	0	0	0	0	0
O14773	0	0	42100000	3.8e+07	0	8500000	9300000	5.3e+07	3.8e+07	31200000	6700000	0	7400000	0	0	1.2e+07	0	5200000	0	0
O14776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200000	5600000	1600000	3300000	0	0
O14777	0	0	0	0	0	0	0	4500000	12200000	0	0	0	0	0	11400000	0	0	4500000	0	0
O14787	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3e+07	0	0	0	0	0	0
O14818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9500000	0	0	6800000	0
O14828	0	0	6e+07	102200000	50500000	99300000	6.3e+07	81700000	1.6e+07	36600000	1.2e+07	0	0	0	0	0	0	0	0	0
O14908	0	0	0	0	0	0	0	0	1.3e+07	3.1e+07	0	0	0	0	0	0	0	0	1900000	0
O14910	0	0	0	0	0	0	0	0	6100000	0	0	0	0	0	0	0	0	0	0	0
O14929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10500000	1.2e+07	4600000	5500000	0	7200000
O14936	0	0	5900000	3500000	0	0	0	4600000	28900000	12100000	4100000	0	0	0	0	0	0	0	0	0
O14964	0	0	0	0	0	0	0	19100000	1.3e+07	0	0	4100000	0	0	0	5600000	0	5200000	2e+06	5300000
O14974	0	0	0	0	0	0	0	0	6300000	1e+07	0	2200000	0	0	8200000	0	0	0	0	0
O14976	0	0	0	0	0	0	0	3800000	0	0	0	0	0	0	0	0	0	0	0	0
O14979	0	0	0	0	0	0	0	0	1.5e+07	9400000	7700000	2.6e+07	133700000	3.58e+08	3.83e+08	1.58e+08	74200000	4.9e+07	7200000	46100000
O14980	0	0	1.3e+07	0	0	6600000	0	0	1.1e+07	1.5e+07	0	0	12700000	8.7e+08	4e+07	0	3500000	71900000	34100000	19100000
O15020	0	0	0	0	0	0	0	8100000	7700000	10800000	0	0	0	0	0	0	0	0	0	0
O15027	0	0	123300000	60500000	21300000	120300000	121400000	130900000	421400000	132800000	1.07e+08	141600000	13200000	25600000	119600000	64900000	87600000	3e+07	38100000	3.4e+07
O15031	0	0	73700000	25800000	0	9900000	3100000	27100000	2.8e+07	19400000	5700000	0	0	0	0	0	0	0	0	0
O15042	0	0	0	0	0	0	0	1e+06	4100000	0	0	6700000	82600000	467800000	6.19e+08	677800000	470600000	99300000	93600000	88200000
O15047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600000	0	0	0	0	0
O15067	0	0	1100000	0	0	0	0	0	5400000	2100000	0	0	0	3700000	26400000	78500000	289400000	225800000	203800000	435300000
O15118	0	7100000	1.63e+08	96800000	2.9e+07	78900000	37600000	103400000	3.6e+07	0	2.1e+07	8400000	0	0	0	0	0	0	0	1.3e+07
O15126	0	0	2100000	8800000	0	2300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15127	0	0	23200000	27500000	1400000	25900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8e+07	5200000	20300000
O15173	0	0	3300000	0	0	0	0	2700000	0	4200000	4300000	0	0	0	0	0	0	0	0	0
O15213	0	0	0	0	0	0	0	0	0	0	0	0	0	50800000	7700000	3600000	0	0	0	0
O15230	0	0	16100000	6700000	2300000	6600000	2900000	16700000	0	22100000	5700000	0	1200000	4400000	0	0	0	0	0	0
O15231	0	0	21400000	12400000	6700000	6800000	21900000	141700000	1483400000	1.151e+09	4.51e+08	186400000	34100000	3.3e+07	0	5100000	6600000	20300000	9e+06	9e+06
O15234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+07	5.9e+07	0	0	0	0
O15269	0	0	15600000	0	0	2300000	2200000	1.9e+07	13900000	0	0	4400000	3200000	0	0	0	0	0	0	0
O15270	0	0	0	0	0	0	0	3500000	0	0	0	0	0	0	0	0	0	0	0	0
O15294	0	0	0	0	0	0	0	0	0	0	0	1.3e+07	6700000	1.2e+07	21700000	22300000	34600000	1.2e+07	12300000	39400000
O15355	0	0	0	0	0	0	0	0	0	0	2800000	37700000	3.5e+07	5.4e+07	2.9e+07	35100000	2.6e+07	21200000	0	22200000
O15357	0	0	0	0	0	0	0	0	7500000	0	0	0	0	0	2.2e+07	5600000	9800000	3.9e+07	1.4e+07	43600000
O15371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12800000	0	15500000	0	0
O15372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29800000	0	0	0	0	0
O15400	0	0	61800000	67100000	8200000	70400000	15900000	25700000	1.3e+07	9600000	0	0	0	0	0	0	0	0	0	0
O15439	0	0	0	9020000	0	0	0	0	8400000	0	0	0	0	0	0	0	0	0	0	0
O15446	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	4900000	0	18400000	0	0	0	0
O15460	0	0	0	0	0	0	0	0	19700000	0	0	0	0	0	0	0	0	0	0	0
O15479	0	0	8e+06	4500000	0	2300000	3600000	2e+07	7e+07	0	1.4e+07	2.2e+07	4.5e+07	3.4e+07	1.33e+08	7.33e+08	684800000	2.57e+08	1.07e+08	1.57e+08
O35129	0	0	0	0	0	0	0	0	15200000	55300000	2900000	0	0	0	0	0	0	0	0	0
O43143	0	0	0	0	0	0	0	0	8500000	0	0	14200000	62100000	349600000	268500000	199100000	62400000	106200000	1.4e+07	56200000
O43149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e+07	0	1800000	0	0	0
O43159	0	0	0	0	0	0	0	0	0	0	0	0	1.2e+07	37500000	15800000	2500000	0	0	0	0
O43166	0	0	0	0	0	0	0	0	72600000	103500000	1.1e+07	1.5e+07	0	0	0	0	0	0	0	0
O43251	0	0	0	0	0	0	0	0	0	0	0	3800000	1.2e+07	0	0	0	0	1.3e+07	0	0
O43252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4e+07	0	20100000
O43264	0	0	2500000	0	0	0	0	0	1700000	0	0	0	0	0	0	0	0	0	0	0
O43290	0	0	0	0	0	0	0	0	0	13900000	0	3300000	4.3e+07	1.3e+07	6.3e+07	7.3e+07	3.6e+07	14100000	5800000	8e+06
O43293	0	0	0	0	0	0	0	2500000	0	15800000	2e+06	0	0	0	0	0	0	0	0	0
O43390	0	0	12400000	3600000	0	0	0	0	211700000	180700000	135200000	240830000	939900000	3480500000	4021800000	1335590000	630100000	569700000	205700000	5.3e+08
O43396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13700000	0	0
O43491	0	7500000	50200000	65600000	16100000	23500000	6300000	183100000	525200000	170500000	91600000	46500000	6500000	0	0	0	0	0	0	0
O43493	0	4100000	7.09e+08	837800000	408400000	713400000	390700000	397200000	356700000	201800000	75600000	41400000	8800000	1600000	0	0	0	0	0	0
O43583	0	0	0	0	0	0	0	8700000	2e+07	8800000	0	0	0	0	0	0	0	3e+06	0	0
O43592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10700000
O43639	0	0	0	0	0	0	0	1.2e+07	0	0	0	0	0	0	0	0	0	0	0	0
O43670	0	0	0	0	0	0	0	0	0	0	0	0	0	58800000	34200000	3.5e+07	30600000	40800000	1.5e+07	2.3e+07
O43684	0	0	0	0	0	0	0	0	0	0	0	0	50300000	1.35e+08	151600000	15900000	95500000	99900000	19200000	51900000
O43707	0	0	84700000	43800000	10400000	38790000	45500000	375800000	3851700000	2099400000	993100000	389300000	124500000	73900000	30700000	20900000	51800000	4.6e+07	17100000	55800000
O43719	0	0	0	0	0	0	0	0	0	0	0	0	0	111800000	7.5e+07	9.4e+07	17600000	0	0	5100000
O43747	0	0	0	0	1.1e+07	0	2.2e+07	41200000	0	0	0	0	0	0	0	0	0	5600000	0	1.2e+07
O43760	0	0	24200000	5700000	2900000	15900000	3600000	13100000	0	0	0	0	0	0	0	0	0	0	0	0
O43761	0	0	0	3900000	0	2800000	1700000	0	0	0	0	0	0	0	0	0	0	0	0	0
O43776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29300000	67700000	127400000	1.77e+08	35100000	81300000
O43795	0	0	6200000	3900000	0	0	0	31700000	108500000	13800000	7700000	1500000	0	0	0	0	0	0	0	0
O43815	0	0	3700000	0	0	0	0	0	32100000	6600000	2100000	0	5e+06	2.1e+07	6e+06	0	6200000	5700000	6700000	3900000
O43823	0	0	0	0	0	0	0	0	0	0	7700000	1.6e+07	71600000	24200000	122200000	0	0	6900000	0	6900000
O43847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500000	0	0
O43852	0	0	32500000	20600000	4100000	0	20890000	5.5e+07	1.13e+08	7.8e+07	2.1e+07	4.3e+07	0	0	0	0	0	0	2800000	0
O43861	0	0	0	0	0	0	0	5900000	0	0	0	0	0	0	0	0	0	0	0	0
O60216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800000	0	0	0	0
O60264	0	0	0	0	0	0	0	0	0	0	0	0	3.5e+07	48700000	7900000	0	0	0	0	0
O60287	0	0	0	0	0	0	0	0	0	0	0	0	8380000	4.2e+07	4100000	0	0	0	0	0
O60291	0	0	3100000	2900000	0	960000	0	0	3700000	0	0	0	0	0	0	0	0	0	0	0
O60306	0	0	0	0	0	0	0	0	0	0	0	0	0	2800000	2.3e+07	1400000	4100000	0	0	1100000
O60313	0	0	0	0	0	0	0	0	1.27e+08	63800000	5400000	3400000	0	0	0	0	0	0	0	0
O60318	0	0	0	0	0	0	0	0	0	0	0	0	5e+07	47700000	7e+06	0	0	0	0	0
O60333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	0	0	0	0
O60341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5700000	0	0
O60353	0	0	0	0	0	0	0	4200000	0	0	0	0	0	0	0	0	0	0	0	0
O60443	0	0	2e+06	0	0	0	0	0	4200000	0	0	0	0	0	0	7600000	1800000	19400000	0	5e+06
O60504	0	0	0	0	0	0	0	0	0	7300000	0	0	0	0	0	0	0	0	0	0
O60506	0	0	0	0	0	0	0	0	9800000	4e+06	0	0	8300000	5.3e+07	6.1e+07	2.9e+07	2.3e+07	0	0	0
O60524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8200000	14500000	4300000	0	0
O60568	0	0	0	0	0	0	420000	0	1.8e+07	5300000	9900000	5400000	0	0	0	0	0	0	0	0
O60610	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000	0	0	0	5500000	0	0
O60664	0	0	12800000	0	0	5200000	0	2.9e+07	39400000	3.4e+07	1800000	24500000	0	5.7e+07	3.3e+07	68900000	33600000	5.6e+07	1.3e+07	35100000
O60678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5e+07	0	0
O60684	0	0	0	0	0	0	0	0	0	0	0	0	9400000	9200000	6600000	0	0	0	0	0
O60701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e+06	1.5e+07	1.3e+07	3.1e+07	28400000	4.3e+07
O60704	0	0	1.1e+08	0	0	7.2e+07	0	5.5e+07	0	2e+07	8700000	4100000	0	0	0	0	0	0	0	0
O60716	0	4e+06	251400000	120200000	24600000	96800000	84900000	223400000	713900000	5.93e+08	108400000	6.6e+07	7500000	0	0	1e+07	8300000	0	0	0
O60732	0	0	0	720000	0	0	0	0	1.7e+07	3e+07	1300000	0	0	0	0	2.6e+07	42300000	1.9e+07	15800000	5500000
O60763	0	0	271900000	142100000	3.6e+07	150800000	120400000	186200000	43400000	24300000	1e+07	17600000	8300000	17500000	0	0	13200000	1.3e+07	4900000	17300000
O60779	0	0	0	1400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60784	0	0	1.3e+07	7300000	13100000	7900000	21200000	26500000	3.4e+07	0	1.4e+07	5200000	1.5e+07	0	8800000	6e+06	0	0	0	5e+06
